9970,Sr.,Diogo,Sousa,62,Masculino,Rua Joaquim Egydio Orsi 1044,Campinas,SP,São Paulo,13061-201,BR,Brazil,DiogoFerreiraSousa@superrito.com,3054,0.18,5,0,0,3,1,2,5,2826,84,Email,0,,2024-09-03T00:32:45.337Z
9971,Sra.,Giovana,Dias,47,Feminino,Rua dos Ituanos 1822,São Paulo,SP,São Paulo,04203-030,BR,Brazil,GiovanaBarbosaDias@teleworm.us,3789,1.0,3,2,0,2,25,88,1,4665,58,SMS,1,,2024-09-03T00:32:45.337Z
9972,Sra.,Vitoria,Barros,60,Feminino,Rua Hugo Rangel 1464,Gravataí,RS,Rio Grande do Sul,94198-320,BR,Brazil,VitoriaCavalcantiBarros@gustr.com,3877,0.33,10,2,1,3,3,6,5,6972,48,Ligacao,0,,2024-09-03T00:32:45.337Z
9973,Sr.,Martim,Costa,26,Masculino,Rua Cruzeiro D'Oeste 231,Itaquaquecetuba,SP,São Paulo,08575-660,BR,Brazil,MartimMeloCosta@superrito.com,7535,1.0,14,1,1,5,14,158,2,8860,51,Push,1,,2024-09-03T00:32:45.337Z
9974,Sra.,Lara,Barros,19,Feminino,Rua Baluarte 381,São Paulo,SP,São Paulo,04549-012,BR,Brazil,LaraAraujoBarros@einrot.com,4746,0.19,15,16,0,2,2,4,4,5539,33,Push,0,,2024-09-03T00:32:45.337Z
9975,Sra.,Leonor,Rocha,23,Feminino,Rua Jaime Pantaleão de Morais 264,Volta Redonda,RJ,Rio de Janeiro,27213-112,BR,Brazil,LeonorPintoRocha@rhyta.com,3193,0.83,7,15,1,3,25,53,0,2519,58,Email,1,,2024-09-03T00:32:45.337Z
9976,Sr.,Vinicius,Goncalves,46,Masculino,Avenida M 3 708,Rio Claro,SP,São Paulo,13505-141,BR,Brazil,ViniciusAlmeidaGoncalves@fleckens.hu,5261,0.88,14,0,0,5,46,103,0,9718,33,Email,1,,2024-09-03T00:32:45.337Z
9977,Sra.,Melissa,Santos,54,Feminino,Rua José Augusto de Carvalho 418,Poços de Caldas,MG,Minas Gerais,37704-251,BR,Brazil,MelissaMeloSantos@armyspy.com,3724,1.0,12,4,0,0,30,45,2,2715,57,Email,1,,2024-09-03T00:32:45.337Z
9978,Sr.,Renan,Rocha,64,Masculino,Rua Guimarães Natal 582,Anápolis,GO,Goiás,75040-030,BR,Brazil,RenanCorreiaRocha@superrito.com,5743,0.87,5,16,0,2,37,175,2,324,62,Ligacao,1,,2024-09-03T00:32:45.337Z
9979,Sr.,Caio,Almeida,47,Masculino,Rua César Moreschi 1484,Cambé,PR,Paraná,86183-490,BR,Brazil,CaioMartinsAlmeida@armyspy.com,9171,0.25,5,20,0,4,2,3,5,3003,80,Ligacao,0,,2024-09-03T00:32:45.337Z
