CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
9960,Sra.,Fernanda,Pereira,61,Feminino,Rua José Francelino Oliveira 863,Arapiraca,AL,Alagoas,57304-610,BR,Brazil,FernandaCostaPereira@superrito.com,9575,0.28,8,18,0,3,3,0,5,798,71,Ligacao,0,,2024-09-03T00:32:45.337Z
9961,Sr.,Nicolas,Cunha,64,Masculino,Rua Ângela Maria de Oliveira 26,Pará de Minas,MG,Minas Gerais,35661-219,BR,Brazil,NicolasFernandesCunha@cuvox.de,7112,0.17,7,16,0,3,2,6,4,1157,32,Push,0,,2024-09-03T00:32:45.337Z
9962,Sra.,Evelyn,Oliveira,51,Feminino,Rua da Primavera 661,Mogi-Guaçu,SP,São Paulo,13846-243,BR,Brazil,EvelynAlmeidaOliveira@superrito.com,3600,0.28,3,14,1,3,2,0,4,6367,77,Push,0,,2024-09-03T00:32:45.337Z
9963,Sr.,Vitor,Silva,55,Masculino,Rua Doutor Aroldo Cruz 85,Campina Grande,PB,Paraíba,58105-068,BR,Brazil,VitorFerreiraSilva@cuvox.de,6968,0.23,10,14,1,5,1,0,4,751,56,Push,0,,2024-09-03T00:32:45.337Z
9964,Sra.,Bruna,Rodrigues,37,Feminino,Rua 14 1931,Formosa,GO,Goiás,73808-785,BR,Brazil,BrunaCavalcantiRodrigues@teleworm.us,4617,0.89,9,11,0,1,11,33,5,1338,71,Ligacao,1,,2024-09-03T00:32:45.337Z
9965,Sra.,Gabrielly,Araujo,21,Feminino,Rua Antônio José Salgado 1074,Varginha,MG,Minas Gerais,37044-210,BR,Brazil,GabriellyBarrosAraujo@rhyta.com,9353,1.0,13,20,0,3,36,50,5,1978,90,Ligacao,1,,2024-09-03T00:32:45.337Z
9966,Dr.,Diogo,Correia,66,Masculino,Rua Manoel Moura Santos 1437,Varginha,MG,Minas Gerais,37010-400,BR,Brazil,DiogoSilvaCorreia@einrot.com,9879,1.0,5,15,1,3,22,49,4,9527,32,Push,1,,2024-09-03T00:32:45.337Z
9967,Sr.,Bruno,Gomes,30,Masculino,Rua Senhor dos Passos 105,Resende,RJ,Rio de Janeiro,27514-090,BR,Brazil,BrunoFernandesGomes@fleckens.hu,5761,0.22,15,16,0,2,2,4,5,8334,30,SMS,0,,2024-09-03T00:32:45.337Z
9968,Sr.,Breno,Souza,61,Masculino,Rua Ana Romano Stefanelli 1812,Sorocaba,SP,São Paulo,18052-230,BR,Brazil,BrenoCarvalhoSouza@dayrep.com,7439,0.43,2,17,0,2,1,4,4,4403,90,Ligacao,0,,2024-09-03T00:32:45.337Z
9969,Sr.,Otávio,Ribeiro,48,Masculino,Rua Estado do Mato Grosso do Sul 816,São Paulo,SP,São Paulo,08473-205,BR,Brazil,OtavioSilvaRibeiro@rhyta.com,8335,0.01,7,10,0,2,1,4,4,2119,62,SMS,0,,2024-09-03T00:32:45.337Z
