CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
9980,Sra.,Manuela,Melo,42,Feminino,Rua Vitória Regia 673,Teresópolis,RJ,Rio de Janeiro,25966-203,BR,Brazil,ManuelaDiasMelo@dayrep.com,9958,1.0,2,20,0,0,45,79,3,8618,52,SMS,1,,2024-09-03T00:32:45.337Z
9981,Sr.,Marcos,Pereira,33,Masculino,Rua Antônio Medalha 269,Ourinhos,SP,São Paulo,19907-320,BR,Brazil,MarcosCavalcantiPereira@einrot.com,4674,0.99,15,6,0,2,21,158,2,6240,89,Ligacao,1,,2024-09-03T00:32:45.337Z
9982,Sr.,Otávio,Correia,50,Masculino,Praça Ernesto Che Guevara 1460,Contagem,MG,Minas Gerais,32210-405,BR,Brazil,OtavioCunhaCorreia@jourrapide.com,3819,0.99,12,5,1,5,47,139,5,2351,66,Ligacao,1,,2024-09-03T00:32:45.337Z
9983,Sra.,Amanda,Cunha,44,Feminino,Rua Feliciano Morais 178,Uberlândia,MG,Minas Gerais,38405-188,BR,Brazil,AmandaRochaCunha@gustr.com,9163,1.0,13,18,0,1,48,76,5,7182,40,Email,1,,2024-09-03T00:32:45.337Z
9984,Sr.,Samuel,Rodrigues,62,Masculino,Quadra CLS 209 Bloco D 1663,Brasília,DF,Distrito Federal,70272-540,BR,Brazil,SamuelRochaRodrigues@jourrapide.com,5986,0.87,11,11,1,5,25,161,0,1118,89,Push,1,,2024-09-03T00:32:45.337Z
9985,Sra.,Beatriz,Cavalcanti,51,Feminino,Rua Argila 1170,Sete Lagoas,MG,Minas Gerais,35701-507,BR,Brazil,BeatrizFernandesCavalcanti@cuvox.de,4129,0.85,10,12,1,5,26,172,0,5728,32,Ligacao,1,,2024-09-03T00:32:45.337Z
9986,Sr.,Bruno,Araujo,44,Masculino,Rua Ministro Nelson Hungria 632,Marília,SP,São Paulo,17506-370,BR,Brazil,BrunoRodriguesAraujo@jourrapide.com,8153,0.36,8,16,0,1,1,5,5,3625,77,Push,0,,2024-09-03T00:32:45.337Z
9987,Sr.,Bruno,Dias,44,Masculino,Rua Cidade de Ivaí 939,Joinville,SC,Santa Catarina,89233-305,BR,Brazil,BrunoMartinsDias@jourrapide.com,5622,0.46,9,6,1,4,3,0,4,6989,85,Ligacao,0,,2024-09-03T00:32:45.337Z
9988,Sra.,Laura,Cardoso,35,Feminino,Vila Uruguai 577,Salvador,BA,Bahia,40451-240,BR,Brazil,LauraFerreiraCardoso@cuvox.de,9848,0.33,4,6,0,1,2,8,5,9207,38,Ligacao,0,,2024-09-03T00:32:45.337Z
9989,Sra.,Ágatha,Azevedo,25,Feminino,Rua João Batista de Carvalho 376,Mococa,SP,São Paulo,13732-670,BR,Brazil,AgathaCastroAzevedo@rhyta.com,7065,0.94,1,19,0,2,15,168,1,7607,69,SMS,1,,2024-09-03T00:32:45.337Z
